Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,2,29,1,1437,1437,1608,1610,DL,418,,91,93,,-2,0,CVG,PHL,507,,,0,,0,,,,,
1988,10,26,3,938,938,1044,1050,TW,563,,66,72,,-6,0,STL,DSM,260,,,0,,0,,,,,
1988,7,31,7,1337,1340,1454,1448,US,567,,77,68,,6,-3,CLE,PHL,363,,,0,,0,,,,,
1988,3,14,1,1130,1130,1247,1245,AA,2013,,77,75,,2,0,LAX,SJC,308,,,0,,0,,,,,
1988,1,2,6,800,800,926,920,DL,338,,86,80,,6,0,TPA,ATL,406,,,0,,0,,,,,
1988,9,16,5,1125,1110,1431,1358,DL,1472,,126,108,,33,15,SEA,SLC,689,,,0,,0,,,,,
1988,11,20,7,1418,1415,1640,1619,US,247,,142,124,,21,3,LGA,SDF,658,,,0,,0,,,,,
1988,8,13,6,618,620,738,744,DL,1461,,80,84,,-6,-2,TUS,LAX,451,,,0,,0,,,,,
1988,10,11,2,1401,1400,1521,1512,TW,350,,80,72,,9,1,STL,ORD,258,,,0,,0,,,,,
1988,11,20,7,1417,1417,1401,1404,EA,783,,44,47,,-3,0,ATL,HSV,151,,,0,,0,,,,,
1988,4,12,2,1650,1650,1646,1639,DL,321,,56,49,,7,0,ATL,MGM,147,,,0,,0,,,,,
1988,4,12,2,935,935,1057,1051,EA,1635,,82,76,,6,0,ATL,MCO,403,,,0,,0,,,,,
1988,10,26,3,1857,1855,2102,2105,PI,1664,,125,130,,-3,2,JAX,EWR,821,,,0,,0,,,,,
1988,9,16,5,715,700,826,807,CO,301,,71,67,,19,15,EWR,DCA,199,,,0,,0,,,,,
1988,6,30,4,1145,1145,1240,1232,DL,1663,,55,47,,8,0,TYS,ATL,152,,,0,,0,,,,,
1988,12,20,2,1650,1650,1807,1750,DL,1589,,77,60,,17,0,PIT,CVG,256,,,0,,0,,,,,
1988,5,4,3,51,51,119,119,EA,435,,28,28,,0,0,JAX,DAB,97,,,0,,0,,,,,
1988,8,12,5,1350,1320,1655,1621,TW,338,,125,121,,34,30,STL,ORF,784,,,0,,0,,,,,
1988,7,5,2,850,850,900,900,HP,874,,70,70,,0,0,ELP,PHX,347,,,0,,0,,,,,
1988,6,8,3,1642,1640,1807,1809,TW,276,,85,89,,-2,2,CMH,LGA,478,,,0,,0,,,,,
1988,2,23,2,2159,2156,2236,2241,HP,896,,37,45,,-5,3,ICT,SGF,224,,,0,,0,,,,,
1988,9,3,6,816,812,1030,1017,AA,1175,,194,185,,13,4,ORF,DFW,1213,,,0,,0,,,,,
1988,6,18,6,1111,1109,1515,1510,AA,114,,184,181,,5,2,SLC,ORD,1249,,,0,,0,,,,,
1988,8,28,7,1034,1035,1037,1046,AA,229,,63,71,,-9,-1,CVG,ORD,264,,,0,,0,,,,,
1988,6,15,3,2110,2110,2158,2206,EA,1654,,48,56,,-8,0,MIA,TPA,204,,,0,,0,,,,,
1988,8,22,1,1109,1109,1202,1204,EA,365,,53,55,,-2,0,ATL,TLH,223,,,0,,0,,,,,
1988,8,15,1,1028,1025,1234,1230,US,198,,126,125,,4,3,MCO,PIT,834,,,0,,0,,,,,
1988,4,13,3,632,626,726,725,DL,638,,54,59,,1,6,DFW,HOU,247,,,0,,0,,,,,
1988,9,6,2,850,850,959,955,UA,70,,69,65,,4,0,MSP,ORD,334,,,0,,0,,,,,
1988,8,25,4,650,650,809,805,NW,790,,79,75,,4,0,PFN,MEM,417,,,0,,0,,,,,
1988,1,22,5,2016,2016,2202,2159,DL,324,,106,103,,3,0,CVG,LGA,585,,,0,,0,,,,,
1988,6,1,3,658,700,812,810,NW,812,,74,70,,2,-2,TUL,MEM,342,,,0,,0,,,,,
1988,12,1,4,630,630,731,730,AS,204,,61,60,,1,0,GEG,PDX,279,,,0,,0,,,,,
1988,2,5,5,603,600,638,633,DL,550,,35,33,,5,3,SDF,CVG,83,,,0,,0,,,,,
1988,7,24,7,1957,1740,2328,2110,NW,8,,151,150,,138,137,MSP,PHL,980,,,0,,0,,,,,
1988,2,25,4,1223,1220,1338,1341,CO,67,,135,141,,-3,3,ORD,DEN,888,,,0,,0,,,,,
1988,11,19,6,1210,1210,1326,1331,CO,1655,,136,141,,-5,0,DEN,RNO,804,,,0,,0,,,,,
1988,9,24,6,1753,1729,2008,1955,DL,612,,135,146,,13,24,MIA,CVG,948,,,0,,0,,,,,
1988,2,17,3,1535,1535,1626,1630,UA,651,,111,115,,-4,0,DFW,DEN,641,,,0,,0,,,,,
1988,1,30,6,1005,955,1135,1128,NW,592,,90,93,,7,10,STL,MSP,449,,,0,,0,,,,,
1988,12,9,5,1537,1525,1623,1618,CO,1263,,46,53,,5,12,SAT,IAH,191,,,0,,0,,,,,
1988,7,11,1,1828,1830,1852,1855,PI,776,,24,25,,-3,-2,SYR,UCA,37,,,0,,0,,,,,
1988,7,18,1,850,850,942,940,WN,15,,52,50,,2,0,TUL,DAL,237,,,0,,0,,,,,
1988,6,16,4,1431,1431,1552,1543,EA,1672,,81,72,,9,0,ATL,RDU,356,,,0,,0,,,,,
1988,4,1,5,857,900,1033,1033,UA,223,,156,153,,0,-3,ORD,DEN,888,,,0,,0,,,,,
1988,8,25,4,1740,1740,1900,1905,EA,239,,80,85,,-5,0,ATL,TPA,406,,,0,,0,,,,,
1988,10,2,7,600,600,749,743,DL,793,,109,103,,6,0,MIA,ATL,595,,,0,,0,,,,,
1988,2,10,3,814,815,902,858,US,56,,48,43,,4,-1,ICT,MCI,186,,,0,,0,,,,,
1988,12,10,6,2130,2035,2316,2205,US,1,,226,210,,71,55,PIT,DEN,1290,,,0,,0,,,,,
1988,5,1,7,1653,1652,1807,1800,UA,249,,134,128,,7,1,ALB,ORD,723,,,0,,0,,,,,
1988,9,8,4,1344,1345,1435,1434,PI,583,,51,49,,1,-1,DAY,FNT,213,,,0,,0,,,,,
1988,2,21,7,1436,1430,1535,1539,PI,72,,59,69,,-4,6,CLT,DCA,331,,,0,,0,,,,,
1988,7,11,1,1052,1039,1322,1313,UA,548,,90,94,,9,13,DEN,MCI,533,,,0,,0,,,,,
1988,10,29,6,1547,1547,1720,1712,TW,695,,93,85,,8,0,STL,ICT,392,,,0,,0,,,,,
1988,5,14,6,1724,1719,1754,1752,AA,922,,30,33,,2,5,MIA,FLL,21,,,0,,0,,,,,
1988,7,21,4,15,2200,109,2254,PI,47,,54,54,,135,135,CLT,CRW,221,,,0,,0,,,,,
1988,7,31,7,500,500,551,558,AA,202,,51,58,,-7,0,IAH,DFW,224,,,0,,0,,,,,
1988,10,6,4,1305,1300,1520,1512,CO,695,,135,132,,8,5,JAX,EWR,821,,,0,,0,,,,,
1988,11,19,6,1852,1855,2109,2119,UA,286,,77,84,,-10,-3,DEN,OMA,472,,,0,,0,,,,,
1988,1,18,1,1110,1107,1238,1247,AA,451,,148,160,,-9,3,DFW,PHX,868,,,0,,0,,,,,
1988,1,16,6,1208,1200,1703,1712,CO,420,,175,192,,-9,8,LAX,IAH,1379,,,0,,0,,,,,
1988,8,26,5,1149,1005,1359,1213,UA,323,,190,188,,106,104,ORD,SLC,1249,,,0,,0,,,,,
1988,5,20,5,815,814,913,915,AA,296,,58,61,,-2,1,PSP,TUS,344,,,0,,0,,,,,
1988,5,21,6,900,900,1048,1102,CO,569,,168,182,,-14,0,DEN,PDX,992,,,0,,0,,,,,
1988,5,19,4,1410,1332,1620,1545,DL,283,,130,133,,35,38,LGA,ATL,761,,,0,,0,,,,,
1988,1,3,7,1342,1251,1513,1413,PS,1886,,91,82,,60,51,SFO,SNA,372,,,0,,0,,,,,
1988,10,2,7,1405,1405,1519,1513,AA,1388,,74,68,,6,0,DSM,ORD,299,,,0,,0,,,,,
1988,11,29,2,1044,1045,1837,1848,TW,868,,293,303,,-11,-1,LAX,JFK,2475,,,0,,0,,,,,
1988,7,31,7,1000,950,1251,1241,TW,253,,171,171,,10,10,LGA,MIA,1097,,,0,,0,,,,,
1988,6,6,1,1040,1040,1300,1329,CO,1732,,80,109,,-29,0,DEN,BIS,517,,,0,,0,,,,,
1988,12,12,1,1305,1300,1410,1354,NW,1282,,65,54,,16,5,SEA,GEG,224,,,0,,0,,,,,
1988,3,21,1,1905,1905,1925,1935,WN,965,,80,90,,-10,0,DTW,STL,440,,,0,,0,,,,,
1988,11,11,5,716,716,745,747,AA,1329,,29,31,,-2,0,GSO,RDU,67,,,0,,0,,,,,
1988,8,18,4,827,825,1114,1124,UA,592,,107,119,,-10,2,ORD,BDL,783,,,0,,0,,,,,
1988,8,2,2,2057,2045,2113,2109,NW,436,,16,24,,4,12,CID,MLI,69,,,0,,0,,,,,
1988,1,2,6,1918,1910,2110,2111,AA,503,,112,121,,-1,8,BNA,DFW,631,,,0,,0,,,,,
1988,10,10,1,1425,1425,1521,1520,WN,769,,56,55,,1,0,MAF,AUS,294,,,0,,0,,,,,
1988,3,5,6,800,800,827,822,NW,781,,87,82,,5,0,GRR,MSP,408,,,0,,0,,,,,
1988,10,1,6,1235,1235,1423,1412,DL,905,,108,97,,11,0,DTW,ATL,594,,,0,,0,,,,,
1988,1,22,5,2212,2212,2305,2305,DL,885,,53,53,,0,0,DFW,TUL,237,,,0,,0,,,,,
1988,9,13,2,1408,1410,1550,1537,AA,617,,102,87,,13,-2,RDU,EWR,416,,,0,,0,,,,,
1988,9,16,5,930,930,1029,1030,PA (1),246,,59,60,,-1,0,DCA,LGA,214,,,0,,0,,,,,
1988,3,21,1,903,900,1016,1025,PS,1921,,73,85,,-9,3,LAX,SFO,337,,,0,,0,,,,,
1988,2,17,3,1457,1455,1559,1605,PS,1829,,62,70,,-6,2,LAS,LAX,236,,,0,,0,,,,,
1988,2,11,4,1400,1400,1718,1712,CO,58,,138,132,,6,0,LAX,DEN,862,,,0,,0,,,,,
1988,4,14,4,1021,1018,1154,1137,US,1782,,93,79,,17,3,SFO,SNA,372,,,0,,0,,,,,
1988,7,24,7,844,845,929,935,PI,542,,45,50,,-6,-1,MIA,MCO,193,,,0,,0,,,,,
1988,12,27,2,1715,1700,1902,1845,PI,1553,,107,105,,17,15,EWR,CLT,529,,,0,,0,,,,,
1988,11,21,1,1750,1750,1903,1859,DL,1810,,73,69,,4,0,LAX,SFO,337,,,0,,0,,,,,
1988,4,15,5,1449,1445,1757,1736,AA,575,,248,231,,21,4,BOS,DFW,1562,,,0,,0,,,,,
1988,3,28,1,2010,2010,2120,2126,US,133,,70,76,,-6,0,PIT,GSP,401,,,0,,0,,,,,
1988,11,13,7,1730,1624,1935,1830,EA,544,,125,126,,65,66,ATL,LGA,761,,,0,,0,,,,,
1988,5,3,2,835,820,1556,1616,EA,518,,261,296,,-20,15,LAX,MIA,2342,,,0,,0,,,,,
1988,7,17,7,728,712,1238,1229,EA,334,,190,197,,9,16,SFO,MCI,1499,,,0,,0,,,,,
1988,11,2,3,1035,1035,1229,1230,DL,1198,,54,55,,-1,0,PNS,ATL,272,,,0,,0,,,,,
1988,12,24,6,746,740,908,856,US,432,,82,76,,12,6,DTW,PHL,453,,,0,,0,,,,,
1988,3,23,3,2013,1958,2124,2115,AA,256,,71,77,,9,15,DFW,BTR,383,,,0,,0,,,,,
1988,4,13,3,712,712,1029,1024,AA,52,,137,132,,5,0,ORD,PVD,849,,,0,,0,,,,,
1988,9,12,1,1055,1100,1226,1225,PI,855,,91,85,,1,-5,GSO,EWR,446,,,0,,0,,,,,
1988,5,26,4,2029,2020,2145,2140,NW,1036,,76,80,,5,9,MEM,MCI,392,,,0,,0,,,,,
1988,9,18,7,1629,1629,1844,1841,PA (1),571,,135,132,,3,0,JFK,CVG,589,,,0,,0,,,,,
1988,10,18,2,840,835,1034,1025,CO,953,,54,50,,9,5,ROR,YAP,283,,,0,,0,,,,,
1988,2,6,6,1441,1440,1555,1555,US,296,,74,75,,0,1,DCA,BOS,399,,,0,,0,,,,,
1988,11,14,1,1830,1830,2114,2137,EA,29,,164,187,,-23,0,LGA,MIA,1097,,,0,,0,,,,,
1988,1,30,6,2200,2157,2309,2311,PI,493,,69,74,,-2,3,CLT,PIT,366,,,0,,0,,,,,
1988,6,30,4,1145,1145,1407,1353,DL,984,,82,68,,14,0,STL,CVG,307,,,0,,0,,,,,
1988,7,24,7,1845,1840,2002,2000,PI,565,,77,80,,2,5,PIT,CLT,366,,,0,,0,,,,,
1988,4,8,5,1155,1155,1305,1302,DL,941,,130,127,,3,0,ATL,AUS,813,,,0,,0,,,,,
1988,10,15,6,959,1000,1058,1058,US,509,,59,58,,0,-1,PIT,CVG,256,,,0,,0,,,,,
1988,3,13,7,1324,1324,1444,1445,DL,1404,,80,81,,-1,0,DFW,MCI,460,,,0,,0,,,,,
1988,5,15,7,1947,1845,2242,2138,UA,370,,115,113,,64,62,ORD,PHL,678,,,0,,0,,,,,
1988,8,21,7,1923,1915,2008,2012,NW,436,,45,57,,-4,8,MSP,CID,221,,,0,,0,,,,,
1988,11,28,1,1248,1250,1350,1357,UA,369,,62,67,,-7,-2,ORD,DSM,299,,,0,,0,,,,,
1988,1,14,4,1344,1300,1956,1905,AA,2090,,252,245,,51,44,SNA,ORD,1726,,,0,,0,,,,,
1988,7,31,7,1900,1900,2000,2000,UA,1544,,60,60,,0,0,LAX,MRY,267,,,0,,0,,,,,
1988,12,6,2,830,830,1035,1044,AA,444,,65,74,,-9,0,BNA,GSO,377,,,0,,0,,,,,
1988,12,27,2,916,905,1056,1046,AA,337,,160,161,,10,11,MCO,ORD,1005,,,0,,0,,,,,
1988,3,28,1,840,840,1108,1106,US,343,,148,146,,2,0,PIT,RSW,966,,,0,,0,,,,,
1988,3,30,3,1208,1200,1756,1807,UA,876,,228,247,,-11,8,SFO,ORD,1846,,,0,,0,,,,,
1988,3,4,5,1957,1958,2059,2101,AA,965,,62,63,,-2,-1,SAT,DFW,247,,,0,,0,,,,,
1988,5,18,3,1728,1730,1805,1805,NW,1447,,37,35,,0,-2,DTW,LAN,74,,,0,,0,,,,,
1988,9,1,4,1635,1626,1941,1930,DL,917,,186,184,,11,9,BOS,FLL,1237,,,0,,0,,,,,
1988,11,13,7,1854,1850,2132,2055,US,480,,98,65,,37,4,MDW,PIT,402,,,0,,0,,,,,
1988,5,6,5,1929,1930,2145,2136,PI,26,,136,126,,9,-1,TPA,DAY,828,,,0,,0,,,,,
1988,12,6,2,1800,1750,1859,1845,US,223,,59,55,,14,10,PIT,DTW,201,,,0,,0,,,,,
1988,11,24,4,1214,1214,1339,1335,EA,634,,85,81,,4,0,TPA,ATL,406,,,0,,0,,,,,
1988,1,23,6,710,645,900,815,CO,63,,170,150,,45,25,ORD,DEN,888,,,0,,0,,,,,
1988,12,8,4,1810,1810,1955,1953,UA,243,,225,223,,2,0,IAD,DEN,1452,,,0,,0,,,,,
1988,8,16,2,659,700,915,918,AA,1418,,76,78,,-3,-1,ORD,SDF,286,,,0,,0,,,,,
1988,1,21,4,1315,1305,1500,1435,NW,593,,105,90,,25,10,MSP,STL,449,,,0,,0,,,,,
1988,3,1,2,1330,1330,1436,1430,WN,667,,66,60,,6,0,PHX,ABQ,328,,,0,,0,,,,,
1988,9,12,1,744,745,916,930,AA,262,,92,105,,-14,-1,MCO,RDU,534,,,0,,0,,,,,
1988,12,13,2,932,930,1025,1031,AA,371,,53,61,,-6,2,DFW,HOU,247,,,0,,0,,,,,
1988,8,2,2,1205,1205,1258,1305,WN,20,,53,60,,-7,0,DAL,LBB,293,,,0,,0,,,,,
1988,1,31,7,1200,1156,1142,1140,DL,641,,42,44,,2,4,ATL,MGM,147,,,0,,0,,,,,
1988,3,12,6,1520,1510,1746,1650,CO,1675,,266,220,,56,10,IAD,DEN,1452,,,0,,0,,,,,
1988,2,2,2,2005,2005,2110,2119,CO,718,,65,74,,-9,0,IAD,EWR,213,,,0,,0,,,,,
1988,3,30,3,815,815,855,851,US,507,,40,36,,4,0,CLE,PIT,105,,,0,,0,,,,,
1988,10,20,4,1905,1902,2131,2146,TW,134,,146,164,,-15,3,MIA,LGA,1097,,,0,,0,,,,,
1988,1,20,3,1835,1835,1930,1929,DL,542,,55,54,,1,0,SAV,ATL,215,,,0,,0,,,,,
1988,12,5,1,1745,1745,2044,2030,AS,221,,179,165,,14,0,SAN,SEA,1050,,,0,,0,,,,,
1988,8,8,1,902,845,1056,1037,US,77,,294,292,,19,17,PIT,LAX,2136,,,0,,0,,,,,
1988,8,25,4,600,600,652,645,HP,1061,,52,45,,7,0,YUM,PHX,160,,,0,,0,,,,,
1988,3,8,2,1313,1315,1604,1600,NW,1278,,111,105,,4,-2,BIL,MSP,748,,,0,,0,,,,,
1988,12,30,5,1543,1535,1645,1639,US,55,,62,64,,6,8,LAX,SJC,308,,,0,,0,,,,,
1988,10,7,5,800,800,1030,1014,AA,685,,210,194,,16,0,BWI,DFW,1217,,,0,,0,,,,,
1988,1,4,1,2048,2043,2240,2240,AA,546,,52,57,,0,5,ORD,FWA,157,,,0,,0,,,,,
1988,9,12,1,1856,1850,1948,1942,NW,589,,52,52,,6,6,MSP,FSD,197,,,0,,0,,,,,
1988,7,17,7,836,836,1203,1209,EA,618,,147,153,,-6,0,MCI,EWR,1092,,,0,,0,,,,,
1988,9,4,7,1800,1800,1939,1913,EA,1110,,99,73,,26,0,LGA,BOS,185,,,0,,0,,,,,
1988,1,8,5,1210,1110,1430,1304,EA,777,,260,234,,86,60,ATL,PHX,1587,,,0,,0,,,,,
1988,12,27,2,700,640,714,650,CO,613,,74,70,,24,20,CLE,MDW,307,,,0,,0,,,,,
1988,3,25,5,700,700,846,832,DL,971,,106,92,,14,0,BWI,CVG,430,,,0,,0,,,,,
1988,6,11,6,1910,1900,2024,2019,AA,2040,,74,79,,5,10,SFO,LAX,337,,,0,,0,,,,,
1988,3,28,1,1952,1952,2111,2115,DL,1886,,79,83,,-4,0,SLC,RAP,508,,,0,,0,,,,,
1988,1,13,3,1230,1230,1458,1421,CO,1099,,208,171,,37,0,IAD,IAH,1190,,,0,,0,,,,,
1988,12,12,1,850,850,1022,1016,AA,241,,92,86,,6,0,ORD,MSP,334,,,0,,0,,,,,
1988,4,2,6,1800,1800,1850,1902,EA,1110,,50,62,,-12,0,LGA,BOS,185,,,0,,0,,,,,
1988,5,2,1,912,915,1407,1415,CO,1088,,175,180,,-8,-3,SAN,IAH,1303,,,0,,0,,,,,
1988,10,14,5,720,720,810,818,EA,341,,50,58,,-8,0,CHS,ATL,259,,,0,,0,,,,,
1988,2,17,3,1255,1255,1425,1420,PS,1886,,90,85,,5,0,SFO,SNA,372,,,0,,0,,,,,
1988,12,18,7,1740,1740,1912,1915,CO,783,,92,95,,-3,0,DTW,EWR,487,,,0,,0,,,,,
1988,10,10,1,1133,1133,1308,1319,EA,578,,35,46,,-11,0,HSV,ATL,151,,,0,,0,,,,,
1988,12,3,6,807,808,851,910,AA,1159,,104,122,,-19,-1,DCA,BNA,562,,,0,,0,,,,,
1988,5,3,2,733,730,1326,1311,UA,146,,233,221,,15,3,PDX,ORD,1739,,,0,,0,,,,,
1988,5,20,5,2141,2140,2245,2253,US,1823,,64,73,,-8,1,LAX,SCK,315,,,0,,0,,,,,
1988,7,31,7,1055,1055,1145,1145,PA (1),402,,50,50,,0,0,AUS,DFW,190,,,0,,0,,,,,
1988,4,5,2,645,645,744,744,DL,1900,,59,59,,0,0,LAX,LAS,236,,,0,,0,,,,,
1988,9,19,1,,903,,952,PI,667,,,49,,,,BWI,ORF,159,,,1,,0,,,,,
1988,10,17,1,627,630,725,737,UA,832,,58,67,,-12,-3,MSP,ORD,334,,,0,,0,,,,,
1988,4,12,2,930,930,1035,1030,HP,205,,65,60,,5,0,LAS,PHX,256,,,0,,0,,,,,
1988,11,16,3,1340,1335,1646,1634,AA,162,,126,119,,12,5,BNA,LGA,764,,,0,,0,,,,,
1988,11,15,2,736,730,831,818,DL,1417,,55,48,,13,6,ELP,ABQ,223,,,0,,0,,,,,
1988,5,8,7,823,824,1008,1015,TW,177,,165,171,,-7,-1,BOS,STL,1046,,,0,,0,,,,,
1988,1,28,4,1721,1720,1826,1819,US,679,,65,59,,7,1,ROC,DCA,296,,,0,,0,,,,,
1988,8,2,2,2255,2300,2349,2358,DL,1886,,54,58,,-9,-5,BIS,FSD,295,,,0,,0,,,,,
1988,6,15,3,2120,2120,2320,2320,WN,969,,60,60,,0,0,PHX,ABQ,328,,,0,,0,,,,,
1988,4,13,3,1855,1858,1939,1943,PI,841,,44,45,,-4,-3,BWI,RIC,121,,,0,,0,,,,,
1988,5,1,7,2337,2337,25,20,DL,1910,,48,43,,5,0,ATL,TYS,152,,,0,,0,,,,,
1988,4,1,5,1527,1525,1715,1722,AA,1039,,108,117,,-7,2,RDU,SRQ,625,,,0,,0,,,,,
1988,11,14,1,1430,1430,1538,1520,NW,1148,,68,50,,18,0,CMH,DTW,155,,,0,,0,,,,,
1988,3,2,3,700,700,750,755,WN,4,,50,55,,-5,0,HOU,DAL,239,,,0,,0,,,,,
1988,2,2,2,958,940,1141,1128,NW,791,,163,168,,13,18,EWR,MEM,946,,,0,,0,,,,,
1988,9,19,1,1220,1220,1615,1552,NW,792,,175,152,,23,0,MEM,EWR,946,,,0,,0,,,,,
1988,11,28,1,1719,1715,1800,1800,WN,784,,41,45,,0,4,HOU,AUS,148,,,0,,0,,,,,
1988,10,27,4,1850,1850,2238,2253,CO,598,,168,183,,-15,0,IAH,BWI,1235,,,0,,0,,,,,
1988,12,28,3,,1630,,1725,TW,347,,,55,,,,JFK,BDL,106,,,1,,0,,,,,
1988,6,17,5,1911,1910,1941,1945,TW,485,,30,35,,-4,1,RSW,TPA,110,,,0,,0,,,,,
1988,12,7,3,1405,1400,1616,1625,UA,259,,251,265,,-9,5,ORD,LAX,1745,,,0,,0,,,,,
1988,11,9,3,1452,1451,1638,1631,AA,628,,106,100,,7,1,PDX,SJC,569,,,0,,0,,,,,
1988,3,30,3,2039,2020,2326,2326,DL,189,,167,186,,0,19,BOS,FLL,1237,,,0,,0,,,,,
1988,11,10,4,1722,1719,2153,2145,AA,230,,211,206,,8,3,DFW,EWR,1372,,,0,,0,,,,,
1988,12,24,6,2305,2305,2345,2339,DL,1615,,40,34,,6,0,PHX,TUS,110,,,0,,0,,,,,
1988,7,11,1,1140,1142,1356,1357,AA,1092,,136,135,,-1,-2,MSP,DFW,852,,,0,,0,,,,,
1988,12,31,6,631,630,914,913,CO,1278,,103,103,,1,1,MSP,CLE,622,,,0,,0,,,,,
1988,4,25,1,1832,1828,1928,1926,AA,193,,116,118,,2,4,DFW,DEN,641,,,0,,0,,,,,
1988,5,16,1,1747,1745,1936,1948,CO,567,,169,183,,-12,2,DEN,SEA,1024,,,0,,0,,,,,
1988,10,12,3,1325,1325,1450,1426,CO,735,,85,61,,24,0,EWR,SYR,194,,,0,,0,,,,,
1988,4,10,7,636,636,822,822,DL,296,,106,106,,0,0,ATL,PHL,665,,,0,,0,,,,,
1988,5,26,4,1018,1009,1227,1211,DL,440,,129,122,,16,9,ATL,BDL,859,,,0,,0,,,,,
1988,2,9,2,848,850,1025,1027,UA,389,,157,157,,-2,-2,DEN,OAK,957,,,0,,0,,,,,
1988,11,27,7,1355,1321,1440,1406,PI,1225,,45,45,,34,34,CLT,AGS,140,,,0,,0,,,,,
1988,8,1,1,1818,1815,1905,1905,WN,167,,47,50,,0,3,SAT,HRL,233,,,0,,0,,,,,
1988,5,16,1,635,635,714,725,WN,729,,39,50,,-11,0,HOU,SAT,192,,,0,,0,,,,,
1988,9,9,5,1831,1830,1924,1938,US,2831,,53,68,,-14,1,LAX,SJC,308,,,0,,0,,,,,
1988,7,16,6,2119,2120,2344,2233,UA,56,,145,73,,71,-1,IAD,EWR,213,,,0,,0,,,,,
1988,5,26,4,650,650,747,755,CO,621,,57,65,,-8,0,BDL,EWR,116,,,0,,0,,,,,
1988,2,11,4,745,745,833,840,EA,280,,48,55,,-7,0,TLH,ATL,223,,,0,,0,,,,,
1988,6,9,4,1909,1853,,2050,TW,283,,,237,,,16,STL,BUR,1584,,,0,,1,,,,,
1988,4,29,5,1850,1850,2011,2024,AA,2050,,81,94,,-13,0,SMF,SNA,404,,,0,,0,,,,,
